soal;option_a;option_b;option_c;option_d;jawaban;
Siti dan Udin di Jalan Siti dan Udin namanya. Muka mereka penuh debu. Dengan baju rombengan, mereka menyanyi di tengah kebisingan. Pagi sampai malam, mereka tersenyum dalam peluh, menyapa om dan tante, mengharap receh seadanya. Beribu Siti dan Udin berkeliaran di jalan-jalan, dengan suara serak dan napas yang sesak oleh polusi. Kalau hari ini bisa makan, alhamdulillah.Siti dan Udin tetap berdoa agar mereka bisa sekolah dan punya rumah berjendela. Apa permintaan Siti dan Udin dalam doanya?;Ingin bersekolah;Ingin bernyanyi;Ingin bekerja;Ingin bertamasya;A;
Hari Istimewa Suwidak Loro Ada undangan pesta di istana. Suwidak Loro ingin datang dan membawa makanan istimewa. Nama makanan itu botok. Suwidak Loro sudah menyiapkan bahannya. Ada cabai, bawang merah, dan bawang putih. Ada juga garam dan gula merah. Semua bahan dihaluskan. Suwidak Loro harus memarut kelapa dan mengiris tempe. Semua bahan dicampur dan dibungkus daun pisang. Setelah itu botok dimasak dengan cara dikukus. Setelah matang botok akan dibawa ke istana. Sekarang Suwidak Loro sudah ada di istana. Namun Suwidak Loro takut tuan putri tidak menyukai botoknya. Ternyata tuan putri suka sekali dengan botok Suwidak Loro. Tuan Putri juga menawarkan pada anak yang lain. Suwidak Loro senang sekali. Suwidak Loro merasa takut ketika sampai di istana. Apa yang membuatnya merasa demikian?;Ia belum pernah diundang ke istana.;Ia tidak mengenal tuan putri.;Ia hanya membawa botok buatan sendiri.;Ia khawatir tuan putri tidak menyukai botoknya.;D;
Suwidak Loro adalah anak dari keluarga miskin, tetapi tuan putri tetap menerima makanan darinya. Menurutmu, bagaimana sifat tuan putri terhadap teman-temannya?;Pekerja keras.;Rendah hati;Suka membantu;Rendah diri;B;
"Sakit Gigi Oleh: Ratna Sulistyowati.
Hasan suka makan cokelat dan permen karena rasanya manis. Setiap hari, Hasan memakan cokelat dan permen. Sisa cokelat dan permen menempel di giginya. Namun, Hasan malas menggosok gigi. Ibu selalu menasihati Hasan agar menggosok gigi. Hasan tidak menurut. Hasan tetap malas menggosok gigi. Suatu hari, gigi Hasan sakit. Hasan terus menangis. Ibu mengajak Hasan ke dokter gigi. Ternyata, gigi Hasan berlubang. Kata dokter, gigi Hasan berlubang karena Hasan malas menggosok gigi. Sejak saat itu, Hasan rajin menggosok gigi dua kali sehari. Mengapa Hasan pergi ke dokter?";Hasan suka makan cokelat.;Hasan malas menggosok gigi.;Gigi Hasan sakit.;Agar tidak dimarahin ibu;C;
"Tips Tidur Nyenyak
Tahukah kamu? Tidur adalah kegiatan penting untuk tubuh. Usia 6 sampai 12 tahun harus tidur 9 sampai 12 jam setiap hari. Usia 13 sampai 18 tahun harus tidur 8 sampai 10 jam setiap hari. Energimu bisa pulih setelah tidur. Tidur dapat memberikan pengaruh untuk suasana hati, kesehatan fisik, dan mental. Tidur termasuk obat dari segala penyakit, lho! Kamu harus tidur dengan nyenyak, ya! Ada 5 tips untuk dapat tidur dengan nyenyak, lho! 1. Tidur di kamar yang nyaman. 2. Kamu dapat melakukan hal yang menenangkan sebelum tidur. Misalnya membaca buku atau melakukan latihan pernapasan. 3. Kamu perlu membuat jadwal tidur harian. Selain itu, kamu juga perlu melakukan jadwal yang sudah dibuat. 4. Matikan HP, laptop, TV, dan sebagainya. 5. Sebaiknya hindari minum kopi karena mengganggu tidur kamu. Untuk usia berapa tidur 9 sampai 12 jam setiap harinya?";6 tahun;13 tahun;5 tahun;18 tahun;A;
Lutut ibu berdarah sehingga harus segera diobati. Arti dari imbuhan ber- pada kalimat tersebut adalah ....;mengeluarkan;melakukan pekerjaan;mempunyai;lutut ibu berdarah sehingga harus segera diobati;A;
"Pada suatu masa, hiduplah penyihir tua baik hati yang menggunakan sihirnya dengan murah hati dan bijak untuk menolong para tetangganya. Bukannya menyombongkan sumber kekuatan sihir yang dia miliki, si penyihir tua berpura-pura mengatakan bahwa semua ramuan, jimat, dan obat penawar yang ia berikan muncul begitu saja dari kuali kecil yang dia sebut sebagai kuali keberuntungan. Bahkan dari tempat-tempat yang jauh, banyak orang datang kepadanya, membawa berbagai macam masalah dan si penyihir dengan senang hati akan mengaduk kualinya, lalu membereskan masalah mereka. 
Kalimat utama yang sesuai untuk paragraf di atas adalah ...";Si penyihir tua menyombongkan semua kekuatan yang dimilikinya;Penyihir tua membawa masalah;Si penyihir tua yang menggunakan sihirnya untuk menolong tetangganya;Kuali kecil itu bukanlah milik si penyihir tua;C;
"Bacalah cuplikan cerita berikut!
Pada suatu hari, ketika Jaluk hendak berangkat ke hutan, istrinya berpesan agar ia tidak mengambil sesuatu yang tidak jelas asalnya. Namun, sesampai di sana, ia melanggar pesan istrinya. Ia mengambil telur sebesar buah kelapa. Telur itu di rebus dan dimakan. Setelah makan telur tubuh Jaluk terasa gatal. Tidak lama kemudian tubuhnya tumbuh sisik serta berubah menjadi seekor naga. Kesimpulan cerita tersebut yang tepat adalah ...";Jaluk adalah seseorang suami yang sangat menyayangi istri dan anaknya;Jaluk pergi ke hutan dan menjual telur sebesar buah kelapa;Jaluk melanggar pesan istrinya dan tubuhnya berubah menjadi naga;Jaluk menemukan seekor naga yang tubuhnya dipenuhi sisik;C;
"Bacalah teks berikut ini dengan saksama!
Pengguna jalan umum kurang mematuhi peraturan lalu lintas, terutama pengguna jalan bermotor. Ketika macet, banyak pengendara motor melewati trotoar sehingga pengguna trotoar merasa tidak nyaman dengan hal tersebut. Pengguna jalan tidak hanya pengendara motor saja, tetapi pejalan kaki juga. 
Prediksi yang tepat jika masalah di atas dibiarkan terus-menerus adalah ...";Arus lalu lintas menjadi lebih macet daripada sebelumnya;Polisi lalu lintas akan terganggu oleh pengendara yang melewati trotoar;Para pejalan kaki akan terganggu dan merasa tidak aman saat melewati trotoa;Pengendara motor akan tertib karena lalu lintas tidak macet;C;
"Bacalah teks berikut ini dengan saksama!
Buah alpukat mengandung Mineral, Vitamin, dan Serat yang tinggi terutama Vitamin B, Vitamin C, Vitamin E, Vitamin K, Potassium (Kalsium), dan Tembaga yang sangat bermanfaat bagi orang yang mengonsumsinya. Buah alpukat juga memberikan rasa kenyang sehingga berguna bagi mereka yang ingin menurunkan berat badannya. Buah alpukat disebut juga buah avokad atau apokat.
Bacaaan diatas termasuk dalam jenis teksâ€¦..";Persuasi;Deskripsi;Eksposisi;Argumentasi;C;
